"Roadname and Road ID","Unique Asset ID","Park Ref","Easting (Location/Map Coordinates)","Northing (Location/Map Coordinates)","Geometry"
"PARK 14 - RYMILL PARK (5141)","PS131","Park 14 - Rymill Park - Murlawirrapurka","281910.2877","6132806.7279","POINT (15430269.6950859 -4153528.50348816)"
"CBS ST (1588)","PS132","","280877.8915","6132666.2777","POINT (15429008.423171 -4153670.09245466)"
"CBS ST (1588)","PS133","","280877.6675","6132668.2931","POINT (15429008.20926 -4153667.620546)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","PS134","Park 27 - Bonython Park - Tulya Wardli","279196.1335","6133559.3301","POINT (15426986.786564 -4152528.21070264)"
"PARK 02 - PARDIPARDINYILLA (5022)","PS135","Park 2 -Pardipardinyilla","279814.1442","6135409.1623","POINT (15427793.517164 -4150284.11158971)"
"ZONE 1 NORTH (5502)","PS136","Park 27 - Bonython Park - Tulya Wardli","279664.6948","6134054.4266","POINT (15427571.8365686 -4151936.49827918)"
"PARK 01 - GOLF LINKS (5016)","PS137","Park 1- Pirltawardli","","","POINT (15427247.0839312 -4150854.39991117)"
"PARK 21WEST - MIRNU WIRRA (5216)","PS138","","279944.3299","6131332.8191","POINT (15427832.478984 -4155273.89959949)"
"PARK 21WEST - MIRNU WIRRA (5216)","PS139","Park 21 - Walyu Yarta","280055.2638","6131350.0779","POINT (15427968.0914398 -4155256.054444)"
"PARK 19 - PITYARRILLA (5193)","PS140","","281645.4895","6131276.5801","POINT (15429902.6983326 -4155392.66149297)"
"PARK 21WEST - MIRNU WIRRA (5216)","PS141","","279950.8899","6131339.6656","POINT (15427840.6693112 -4155265.71688471)"
"","PS142","","278961.7586","6133306.1899","POINT (15426693.9588766 -4152830.90275351)"
"","","","","",""
