Date/Time,PM10 TEOM ug/m3,PM2.5 TEOM ug/m3,Temperature Deg C,Barometric Pressure atm
1/10/2013 0:10,9,6.1,13.4,0.983
1/10/2013 0:20,6.1,3.9,13.4,0.983
1/10/2013 0:30,9.4,3.7,13.7,0.983
1/10/2013 0:40,7.6,4.1,13.5,0.983
1/10/2013 0:50,6,4.2,13.5,0.984
1/10/2013 1:00,11,6.6,13,0.984
1/10/2013 1:10,8.9,6,12.8,0.984
1/10/2013 1:20,9.9,8.1,12.5,0.984
1/10/2013 1:30,6.3,5.3,12.4,0.984
1/10/2013 1:40,6.9,4.5,12.6,0.984
1/10/2013 1:50,10.9,8,12.6,0.985
1/10/2013 2:00,10.1,6.9,12.5,0.985
1/10/2013 2:10,5.5,4.4,12.4,0.985
1/10/2013 2:20,8,4.6,12.6,0.985
1/10/2013 2:30,8.3,3.7,12.9,0.985
1/10/2013 2:40,8.5,5.5,12.7,0.985
1/10/2013 2:50,5.2,3.9,12.4,0.986
1/10/2013 3:00,13.2,7.5,12.6,0.986
1/10/2013 3:10,8.8,7,12.6,0.986
1/10/2013 3:20,9.6,7.9,12.6,0.986
1/10/2013 3:30,11.6,6,12.6,0.986
1/10/2013 3:40,11.7,6.6,12.6,0.986
1/10/2013 3:50,4.8,0.5,12.2,0.987
1/10/2013 4:00,11.1,7.6,12.1,0.987
1/10/2013 4:10,5.8,2.9,12.4,0.987
1/10/2013 4:20,10.1,3.2,12.6,0.987
1/10/2013 4:30,16.7,5.1,12.5,0.987
1/10/2013 4:40,14.3,11.3,11.1,0.987
1/10/2013 4:50,13.8,8.9,10.6,0.988
1/10/2013 5:00,13.6,15.6,9.9,0.988
1/10/2013 5:10,13.8,11.6,10.1,0.988
1/10/2013 5:20,14.2,5.2,10.6,0.988
1/10/2013 5:30,10.2,-0.5,11,0.988
1/10/2013 5:40,15.2,7.2,10.8,0.988
1/10/2013 5:50,14,12.8,9.3,0.988
1/10/2013 6:00,20.5,13,10.3,0.988
1/10/2013 6:10,20.6,3.6,10.9,0.989
1/10/2013 6:20,11.9,-2.3,10.3,0.989
1/10/2013 6:30,12.5,5.6,10.3,0.989
1/10/2013 6:40,4.8,4.5,9.7,0.989
1/10/2013 6:50,11.3,3.8,10.3,0.99
1/10/2013 7:00,15.8,5.8,11.6,0.99
1/10/2013 7:10,19.4,6.2,12.4,0.99
1/10/2013 7:20,19.7,11.8,10.9,0.99
1/10/2013 7:30,14.5,12.6,10.9,0.99
1/10/2013 7:40,16.2,6.1,12.4,0.99
1/10/2013 7:50,20,10.1,12.2,0.991
1/10/2013 8:00,19.5,10.3,12.3,0.991
1/10/2013 8:10,21.5,12,11,0.991
1/10/2013 8:20,18.9,8,12.1,0.991
1/10/2013 8:30,25.9,9.5,12.9,0.991
1/10/2013 8:40,22.5,18.3,10.6,0.992
1/10/2013 8:50,19.7,11.4,11.7,0.992
1/10/2013 9:00,17.3,4.4,13.1,0.992
1/10/2013 9:10,23,8,13.5,0.992
1/10/2013 9:20,18.7,9.1,13.2,0.992
1/10/2013 9:30,11.8,4.2,13.6,0.992
1/10/2013 9:40,15.6,6.7,14,0.993
1/10/2013 9:50,21.2,9.4,14.2,0.993
1/10/2013 10:00,20.8,14.1,12.3,0.993
1/10/2013 10:10,11.8,4.6,13.6,0.993
1/10/2013 10:20,14.5,3.5,15.3,0.993
1/10/2013 10:30,19.1,5.8,15.6,0.993
1/10/2013 10:40,17,8,15.3,0.993
1/10/2013 10:50,18,8.9,14.6,0.993
1/10/2013 11:00,15.7,5.3,16.1,0.993
1/10/2013 11:10,16.7,6.9,16.2,0.993
1/10/2013 11:20,18.2,6,16.7,0.993
1/10/2013 11:30,23.9,8.6,17.5,0.994
1/10/2013 11:40,27,13.3,15.5,0.994
1/10/2013 11:50,25.3,15.5,14.9,0.994
1/10/2013 12:00,19.4,8.9,15.9,0.994
1/10/2013 12:10,17.9,6,16.2,0.994
1/10/2013 12:20,19.8,9.1,16.1,0.994
1/10/2013 12:30,22.9,9.6,15.9,0.994
1/10/2013 12:40,19.4,6.8,16,0.994
1/10/2013 12:50,20,6.8,16.5,0.994
1/10/2013 13:00,21,8.8,16.5,0.994
1/10/2013 13:10,17.4,7.6,16.6,0.994
1/10/2013 13:20,23.1,10,16.3,0.994
1/10/2013 13:30,19.5,9.8,15.6,0.994
1/10/2013 13:40,22.3,9.9,15.7,0.994
1/10/2013 13:50,21.7,8.7,16.2,0.994
1/10/2013 14:00,24.1,6.6,16.6,0.994
1/10/2013 14:10,24,9,15.9,0.994
1/10/2013 14:20,16.9,3.3,16.7,0.994
1/10/2013 14:30,17.5,4.9,16.2,0.993
1/10/2013 14:40,18.6,7.2,16,0.993
1/10/2013 14:50,23,5.1,17.6,0.993
1/10/2013 15:00,24.4,9.5,17,0.993
1/10/2013 15:10,27,14,16.4,0.993
1/10/2013 15:20,26.5,9.7,18.5,0.994
1/10/2013 15:30,24.7,10,17.7,0.994
1/10/2013 15:40,25.4,11.6,16.8,0.994
1/10/2013 15:50,27.1,12.7,16.1,0.994
1/10/2013 16:00,28.6,14.8,16.3,0.994
1/10/2013 16:10,26.3,11.9,16.1,0.994
1/10/2013 16:20,25.5,11.4,15.7,0.994
1/10/2013 16:30,22.7,8,16.8,0.994
1/10/2013 16:40,25.5,6.4,17.6,0.994
1/10/2013 16:50,21.8,10.4,15.7,0.994
1/10/2013 17:00,15.9,9.7,15.1,0.994
1/10/2013 17:10,14.1,6.9,15.2,0.994
1/10/2013 17:20,17.3,8,15.5,0.994
1/10/2013 17:30,23.7,9.8,15.9,0.994
1/10/2013 17:40,28.5,11.1,15.3,0.995
1/10/2013 17:50,21.9,9.7,14.6,0.995
1/10/2013 18:00,19.8,10.5,14.4,0.995
1/10/2013 18:10,19.3,7.5,14.5,0.995
1/10/2013 18:20,25,10.3,14.3,0.994
1/10/2013 18:30,17.5,5.6,14,0.994
1/10/2013 18:40,21,6.4,13.6,0.994
1/10/2013 18:50,26.5,11.5,13.4,0.994
1/10/2013 19:00,38.7,13.5,13.3,0.995
1/10/2013 19:10,31.7,9.1,13.7,0.995
1/10/2013 19:20,24.7,10.5,14,0.995
1/10/2013 19:30,20.9,6.6,14.2,0.995
1/10/2013 19:40,24.3,10.5,14.3,0.995
1/10/2013 19:50,24.7,8.4,14.3,0.995
1/10/2013 20:00,24.3,9.6,14.2,0.996
1/10/2013 20:10,21.8,6.7,14.2,0.995
1/10/2013 20:20,22.1,6.4,14.2,0.995
1/10/2013 20:30,23,9.1,14.2,0.995
1/10/2013 20:40,28.1,13,13.8,0.996
1/10/2013 20:50,21.3,10.7,13.3,0.996
1/10/2013 21:00,16.8,8.6,13.1,0.996
1/10/2013 21:10,15.7,7.9,13.3,0.996
1/10/2013 21:20,14.2,5.2,13.1,0.995
1/10/2013 21:30,17.2,8.3,13,0.995
1/10/2013 21:40,20.3,5.8,13.2,0.995
1/10/2013 21:50,18.2,8,13.6,0.995
1/10/2013 22:00,15.8,4.8,13.9,0.995
1/10/2013 22:10,12.6,5.1,13.7,0.995
1/10/2013 22:20,17.1,6.5,13.3,0.995
1/10/2013 22:30,15.6,7.5,13.2,0.995
1/10/2013 22:40,13.6,6.7,13.1,0.994
1/10/2013 22:50,17,5.3,13.2,0.994
1/10/2013 23:00,17.5,8.7,13.4,0.994
1/10/2013 23:10,18.1,8,13.2,0.994
1/10/2013 23:20,17.6,5.2,13.3,0.994
1/10/2013 23:30,14,5.5,13.6,0.994
1/10/2013 23:40,16.4,2.7,13.6,0.994
1/10/2013 23:50,14.3,3.8,13.7,0.994
2/10/2013 0:00,15.2,5.8,13.7,0.994
2/10/2013 0:10,17.3,6.6,13.5,0.994
2/10/2013 0:20,14,5,13.5,0.993
2/10/2013 0:30,13.7,6.3,13.6,0.993
2/10/2013 0:40,15.8,5.3,13.5,0.993
2/10/2013 0:50,16.3,4.4,13.6,0.993
2/10/2013 1:00,15.4,4.2,13.4,0.993
2/10/2013 1:10,14.9,6.5,13.3,0.993
2/10/2013 1:20,15,4.8,13.2,0.992
2/10/2013 1:30,15.3,3.8,13.2,0.992
2/10/2013 1:40,17.6,6,12.9,0.992
2/10/2013 1:50,14.6,7.6,12.4,0.992
2/10/2013 2:00,11.3,7.3,11.3,0.992
2/10/2013 2:10,14,5.7,12.7,0.992
2/10/2013 2:20,15.5,5.9,13.4,0.992
2/10/2013 2:30,15.8,4.4,13.5,0.992
2/10/2013 2:40,16.2,4.3,13.5,0.991
