Date/Time,PM10 TEOM ug/m3,PM2.5 TEOM ug/m3,Temperature Deg C,Barometric Pressure atm
1/01/2013 0:10,12.8,4.6,17.5,0.997
1/01/2013 0:20,12.1,4.2,16.9,0.997
1/01/2013 0:30,10.2,3.9,16.6,0.997
1/01/2013 0:40,10.5,4.8,16.3,0.997
1/01/2013 0:50,11.6,5.5,16.4,0.997
1/01/2013 1:00,10.6,5.2,16.7,0.997
1/01/2013 1:10,12.8,6,16.2,0.997
1/01/2013 1:20,15.2,6.7,15.7,0.997
1/01/2013 1:30,20.3,10.7,16.2,0.997
1/01/2013 1:40,21,10.6,15.9,0.997
1/01/2013 1:50,21.7,11.7,15.8,0.997
1/01/2013 2:00,23.1,11.9,15.7,0.996
1/01/2013 2:10,25.5,13.9,15.2,0.997
1/01/2013 2:20,24.2,14.4,15.9,0.997
1/01/2013 2:30,24,13.9,15.6,0.997
1/01/2013 2:40,23.1,13.6,15.3,0.997
1/01/2013 2:50,23,12.7,15.1,0.997
1/01/2013 3:00,20.5,11.5,14.9,0.997
1/01/2013 3:10,12.7,8.1,14.7,0.997
1/01/2013 3:20,10.3,6.5,14.8,0.997
1/01/2013 3:30,10.2,5.6,14.6,0.997
1/01/2013 3:40,14.2,7.3,15.2,0.997
1/01/2013 3:50,15.5,8,15.2,0.997
1/01/2013 4:00,14.1,8.5,14.8,0.997
1/01/2013 4:10,10.8,7.9,14.4,0.997
1/01/2013 4:20,13.8,8.6,14.3,0.997
1/01/2013 4:30,12.2,8,13.5,0.997
1/01/2013 4:40,12.1,7.4,13.7,0.997
1/01/2013 4:50,12,6.7,13.7,0.997
1/01/2013 5:00,11.9,7,13.3,0.997
1/01/2013 5:10,12.1,6.5,13.5,0.997
1/01/2013 5:20,11.6,6.8,13.6,0.997
1/01/2013 5:30,12.9,7.5,13.6,0.997
1/01/2013 5:40,10.7,6.9,14.2,0.998
1/01/2013 5:50,11.7,6.6,15.5,0.998
1/01/2013 6:00,17,7.8,16.3,0.998
1/01/2013 6:10,18.5,9.9,17.2,0.998
1/01/2013 6:20,13.4,8.3,18.2,0.998
1/01/2013 6:30,12.3,7.9,19,0.998
1/01/2013 6:40,12.8,7.8,19.5,0.998
1/01/2013 6:50,11.6,8,20,0.998
1/01/2013 7:00,12.6,8.9,20.9,0.998
1/01/2013 7:10,14.2,9.8,21.8,0.998
1/01/2013 7:20,13.1,8.8,22.7,0.998
1/01/2013 7:30,11.6,8.4,23.2,0.998
1/01/2013 7:40,9.5,6.4,22.7,0.998
1/01/2013 7:50,14,8.3,22.8,0.998
1/01/2013 8:00,18.6,8.5,23.6,0.998
1/01/2013 8:10,23,10.2,24,0.998
1/01/2013 8:20,28.8,13.1,24.3,0.998
1/01/2013 8:30,25.9,12.4,24.2,0.997
1/01/2013 8:40,20.5,10.3,24.1,0.997
1/01/2013 8:50,19.8,9.2,24.9,0.997
1/01/2013 9:00,16.7,8.6,24.7,0.997
1/01/2013 9:10,17.6,9.9,24.6,0.997
1/01/2013 9:20,14.2,7.3,24.8,0.997
1/01/2013 9:30,11.7,6.5,25.1,0.997
1/01/2013 9:40,13,7.4,25.2,0.997
1/01/2013 9:50,14.9,9,25.6,0.997
1/01/2013 10:00,16,8.9,25.4,0.997
