Date/Time,PM10 TEOM ug/m3,PM2.5 TEOM ug/m3,Temperature Deg C,Barometric Pressure atm
1/12/2013 0:10,7.3,2.6,24.4,0.99
1/12/2013 0:20,7,-0.6,24.5,0.99
1/12/2013 0:30,6.8,1.3,24.6,0.99
1/12/2013 0:40,9.2,3.5,24.7,0.99
1/12/2013 0:50,8.5,2,24.6,0.989
1/12/2013 1:00,11.5,3.7,24.6,0.989
1/12/2013 1:10,16.2,3,24.6,0.989
1/12/2013 1:20,18.4,1.1,24.6,0.989
1/12/2013 1:30,14.5,2.4,24.5,0.989
1/12/2013 1:40,14.4,5.7,24.3,0.989
1/12/2013 1:50,16.5,10.6,24.3,0.989
1/12/2013 2:00,11.8,6.1,23.9,0.989
1/12/2013 2:10,10.3,3.6,23.5,0.989
1/12/2013 2:20,7.9,1.8,23.2,0.989
1/12/2013 2:30,10.1,4.6,23.2,0.989
1/12/2013 2:40,13.5,7.1,22.9,0.989
1/12/2013 2:50,12.6,7.3,22.3,0.99
1/12/2013 3:00,11.7,6.3,22,0.99
1/12/2013 3:10,10.8,6.4,21.5,0.99
1/12/2013 3:20,12,9.3,21.3,0.99
1/12/2013 3:30,13,6.7,20.6,0.991
1/12/2013 3:40,7.9,5,20.8,0.991
1/12/2013 3:50,6.9,2.8,20.8,0.991
1/12/2013 4:00,11.2,4.7,20.4,0.991
1/12/2013 4:10,16.7,9.4,20.1,0.991
1/12/2013 4:20,11,6.1,19.8,0.991
1/12/2013 4:30,5,2.9,20.8,0.991
1/12/2013 4:40,7.6,1.6,21.2,0.991
1/12/2013 4:50,7.1,1.9,21.8,0.991
1/12/2013 5:00,7.8,1.9,22.2,0.991
1/12/2013 5:10,9.4,5.4,22.6,0.991
1/12/2013 5:20,7.5,4.8,22.9,0.991
1/12/2013 5:30,6.6,3.3,23.3,0.991
1/12/2013 5:40,6.8,2.7,23.8,0.991
1/12/2013 5:50,11.1,4.9,24.2,0.992
1/12/2013 6:00,14.1,7.3,24.7,0.992
1/12/2013 6:10,17.4,8.9,24.9,0.993
1/12/2013 6:20,18.4,9.7,25.3,0.993
1/12/2013 6:30,17.8,9.4,25.6,0.994
1/12/2013 6:40,16.6,8.3,25.6,0.994
1/12/2013 6:50,16,8.2,25.4,0.994
1/12/2013 7:00,10.9,5,25.5,0.994
1/12/2013 7:10,12,6.7,25.4,0.994
1/12/2013 7:20,12.3,7.4,25.3,0.994
1/12/2013 7:30,16.7,8.4,25.1,0.995
1/12/2013 7:40,15.9,7.1,24.7,0.995
1/12/2013 7:50,15.5,7.5,24.5,0.995
1/12/2013 8:00,20.6,9.5,24.4,0.995
1/12/2013 8:10,27,9.2,24.3,0.995
1/12/2013 8:20,103,34.7,23,0.995
1/12/2013 8:30,39.4,19.1,22.7,0.995
1/12/2013 8:40,18.8,10.6,22.4,0.995
1/12/2013 8:50,11.4,5.2,22.5,0.995
1/12/2013 9:00,9.8,6.2,22.5,0.995
1/12/2013 9:10,30,14.5,21.7,0.996
1/12/2013 9:20,39.3,16.5,21,0.996
1/12/2013 9:30,45.1,18,20.7,0.996
1/12/2013 9:40,35.8,11.6,20.3,0.996
1/12/2013 9:50,13.3,5.1,20.2,0.996
1/12/2013 10:00,20,8.2,20.2,0.995
1/12/2013 10:10,17.6,6.9,20.4,0.995
1/12/2013 10:20,15.5,3.1,20.6,0.995
1/12/2013 10:30,16.4,5.2,20.9,0.994
1/12/2013 10:40,8.1,1.8,21.8,0.994
1/12/2013 10:50,1,-0.3,22.5,0.994
1/12/2013 11:00,4.8,0.5,22.3,0.994
1/12/2013 11:10,7.9,4.1,22.1,0.994
1/12/2013 11:20,21.2,6.4,21.5,0.994
1/12/2013 11:30,28.6,14.6,21.1,0.994
