Date/Time,PM10 TEOM ug/m3,PM2.5 TEOM ug/m3,Temperature Deg C,Barometric Pressure atm
1/04/2013 0:10,8.3,4.5,17,1.002
1/04/2013 0:20,7.5,3.6,17,1.002
1/04/2013 0:30,8.4,3.7,16.9,1.002
1/04/2013 0:40,8.5,4.4,17,1.002
1/04/2013 0:50,9.5,4.3,17,1.002
1/04/2013 1:00,9.1,4,16.9,1.002
1/04/2013 1:10,9.9,4.1,17,1.002
1/04/2013 1:20,11.1,5.9,16.9,1.002
1/04/2013 1:30,11,5,16.9,1.002
1/04/2013 1:40,9.6,5.3,16.8,1.002
1/04/2013 1:50,8.7,4.8,16.7,1.002
1/04/2013 2:00,8.4,4.4,16.6,1.001
1/04/2013 2:10,9.2,4.7,16.6,1.002
1/04/2013 2:20,8.8,5.2,16.6,1.001
1/04/2013 2:30,9.1,4.6,16.5,1.001
1/04/2013 2:40,9.8,5,16.4,1.001
1/04/2013 2:50,9.3,4.5,16.4,1.001
1/04/2013 3:00,11,5.9,16.4,1.001
1/04/2013 3:10,9.6,4.9,16.4,1.001
1/04/2013 3:20,7.4,3.9,16.4,1.001
1/04/2013 3:30,8.2,4.4,16.6,1.001
1/04/2013 3:40,12.7,5.9,16.5,1.001
1/04/2013 3:50,14.2,6.4,16.4,1.001
1/04/2013 4:00,11.6,5.4,16.4,1.001
1/04/2013 4:10,9.3,5.4,16.3,1.001
1/04/2013 4:20,9.5,4.8,16.2,1.001
1/04/2013 4:30,11.1,6.5,16.3,1.001
1/04/2013 4:40,10.8,6.2,16.2,1.001
1/04/2013 4:50,10.6,5.6,16.2,1.001
1/04/2013 5:00,12.7,6.6,16.3,1.002
1/04/2013 5:10,11.8,7.4,16.4,1.002
1/04/2013 5:20,12.2,5.7,16.4,1.002
1/04/2013 5:30,11.1,6,16.3,1.002
1/04/2013 5:40,14.3,7.9,16.4,1.002
1/04/2013 5:50,12.6,7.2,16.3,1.002
1/04/2013 6:00,10.5,6.4,16.3,1.002
1/04/2013 6:10,10.4,6.2,16.4,1.002
1/04/2013 6:20,13,6.1,16.4,1.002
1/04/2013 6:30,12.4,6.6,16.3,1.002
1/04/2013 6:40,13.2,6.9,16.4,1.002
1/04/2013 6:50,12.5,7,16.4,1.002
1/04/2013 7:00,11.9,7,16.5,1.002
1/04/2013 7:10,15.2,6.8,16.6,1.002
1/04/2013 7:20,14,7.6,16.8,1.003
1/04/2013 7:30,15.3,8.1,16.8,1.003
1/04/2013 7:40,16.4,7.9,17.1,1.003
1/04/2013 7:50,11.4,5.7,17.3,1.003
1/04/2013 8:00,8,4.6,17.6,1.003
1/04/2013 8:10,4.7,2.5,18,1.003
1/04/2013 8:20,2.3,1.7,18.3,1.003
1/04/2013 8:30,5.4,3.7,18.5,1.003
1/04/2013 8:40,3.3,2.5,18.6,1.003
1/04/2013 8:50,2.1,1.9,18.7,1.003
1/04/2013 9:00,2.8,2.5,18.7,1.003
1/04/2013 9:10,1.4,1.2,18.9,1.003
1/04/2013 9:20,1.1,1.6,19.1,1.003
1/04/2013 9:30,6.8,1.7,19.3,1.003
1/04/2013 9:40,10.7,3.1,19.6,1.003
1/04/2013 9:50,10.4,3.7,19.6,1.003
1/04/2013 10:00,8.7,3.9,19.8,1.003
1/04/2013 10:10,16.7,4.7,19.9,1.003
1/04/2013 10:20,11.6,3.8,20,1.003
1/04/2013 10:30,7.2,3.2,20.3,1.003
1/04/2013 10:40,3.9,2.6,20.5,1.003
1/04/2013 10:50,6.1,3.5,20.9,1.003
1/04/2013 11:00,7.5,3.8,21,1.003
1/04/2013 11:10,8.1,5.3,20.4,1.003
1/04/2013 11:20,2.6,2.6,20.7,1.003
1/04/2013 11:30,0,1.5,21,1.003
1/04/2013 11:40,2.1,1.9,20.9,1.003
1/04/2013 11:50,4.5,2.3,21.3,1.002
1/04/2013 12:00,1.3,1.5,21.2,1.002
1/04/2013 12:10,5.1,2.1,21.5,1.002
1/04/2013 12:20,8.7,3.3,22.3,1.002
1/04/2013 12:30,8.3,3,22.4,1.002
1/04/2013 12:40,7.4,2.8,22.6,1.002
1/04/2013 12:50,7.8,3.6,22.5,1.002
1/04/2013 13:00,7.3,3.6,22.3,1.002
1/04/2013 13:10,5.7,4.4,21.9,1.001
1/04/2013 13:20,6.8,5.1,21.5,1.001
1/04/2013 13:30,7.5,6.5,20.7,1.001
1/04/2013 13:40,13.1,8.4,20.1,1.001
1/04/2013 13:50,25.2,14.4,18.8,1.001
1/04/2013 14:00,22.4,14,18.1,1.002
1/04/2013 14:10,10.2,8.8,18.2,1.002
1/04/2013 14:20,3.1,4.3,19.1,1.001
1/04/2013 14:30,1.7,2.6,19.6,1.001
1/04/2013 14:40,5.1,2.9,20.2,1.001
1/04/2013 14:50,7,3,20.6,1.001
1/04/2013 15:00,8,3.3,20.6,1.001
1/04/2013 15:10,7.7,3,22.2,1.001
1/04/2013 15:20,7.5,2.7,21.9,1.001
1/04/2013 15:30,10.6,5.4,20.9,1.001
1/04/2013 15:40,10,6.2,20.5,1.001
1/04/2013 15:50,7.9,6,20,1.001
1/04/2013 16:00,6,5.2,20,1.001
1/04/2013 16:10,14.9,7.7,20,1.001
1/04/2013 16:20,11.2,6.8,19.7,1.001
1/04/2013 16:30,7.5,6,19.6,1.001
1/04/2013 16:40,5.5,5.4,19.6,1.001
1/04/2013 16:50,0.9,2,19.7,1.001
1/04/2013 17:00,6.4,3.6,19.6,1.001
1/04/2013 17:10,9.7,5.5,19.4,1.002
1/04/2013 17:20,11.1,5.6,19.3,1.002
1/04/2013 17:30,10.5,6,19.3,1.002
1/04/2013 17:40,7.4,5.6,19.2,1.002
1/04/2013 17:50,5.9,5.3,19.2,1.002
1/04/2013 18:00,6.8,4.8,19.1,1.002
1/04/2013 18:10,7.1,4.8,19.1,1.002
1/04/2013 18:20,14,6.8,19.1,1.002
1/04/2013 18:30,10.4,5.6,19,1.002
1/04/2013 18:40,8.5,5.4,19,1.002
1/04/2013 18:50,7.1,4.9,19.1,1.002
1/04/2013 19:00,6.6,4.6,19.1,1.002
1/04/2013 19:10,10.5,5.6,19.1,1.002
1/04/2013 19:20,9.5,5.5,19,1.002
1/04/2013 19:30,14,6.6,19,1.003
1/04/2013 19:40,19.6,8.8,18.8,1.003
1/04/2013 19:50,4.1,4.5,18.7,1.003
1/04/2013 20:00,1.7,2.1,18.8,1.003
1/04/2013 20:10,5.7,3.7,18.8,1.003
1/04/2013 20:20,6.9,4.3,18.8,1.003
1/04/2013 20:30,5.1,3.8,18.9,1.003
1/04/2013 20:40,9.9,4.2,18.9,1.003
1/04/2013 20:50,13.8,6.4,18.9,1.003
1/04/2013 21:00,14.2,6.5,18.8,1.003
1/04/2013 21:10,6.4,3.7,18.9,1.003
1/04/2013 21:20,8.6,4,18.9,1.003
1/04/2013 21:30,8.8,4.3,18.7,1.003
1/04/2013 21:40,4.3,2.8,18.4,1.003
1/04/2013 21:50,3,2.6,18.1,1.003
1/04/2013 22:00,2.9,2.4,18,1.003
1/04/2013 22:10,3.1,2,18.3,1.003
1/04/2013 22:20,5.7,1.5,18.7,1.003
1/04/2013 22:30,10.4,3.5,18.8,1.003
1/04/2013 22:40,16.9,6.4,18.7,1.003
1/04/2013 22:50,26,9.5,18.4,1.003
1/04/2013 23:00,15.1,8.1,17.9,1.003
1/04/2013 23:10,2,3.3,17.7,1.003
1/04/2013 23:20,-3.1,0.8,17.8,1.003
1/04/2013 23:30,1,1.1,17.6,1.002
1/04/2013 23:40,2.3,1.9,17.8,1.002
1/04/2013 23:50,13.7,5.1,17.9,1.002
2/04/2013 0:00,12.5,5.8,18,1.003
2/04/2013 0:10,9.1,5,18.1,1.003
2/04/2013 0:20,5.1,3,18.2,1.003
2/04/2013 0:30,5.6,3.3,18.3,1.002
2/04/2013 0:40,9.8,4.5,18.3,1.002
2/04/2013 0:50,10.8,5.8,17.7,1.003
2/04/2013 1:00,3.3,3.6,17.8,1.003
2/04/2013 1:10,-0.5,1,18,1.002
2/04/2013 1:20,-0.8,0,17.9,1.002
2/04/2013 1:30,-0.2,0.9,18,1.002
2/04/2013 1:40,2.8,1.2,18.2,1.002
2/04/2013 1:50,5.4,1.7,18,1.002
2/04/2013 2:00,5.6,2.4,18,1.002
2/04/2013 2:10,6.6,2.8,18,1.002
2/04/2013 2:20,18.6,6.6,18.1,1.002
2/04/2013 2:30,30,11.9,17.8,1.002
2/04/2013 2:40,12.5,7.8,17.4,1.002
2/04/2013 2:50,7.4,6,17.3,1.002
2/04/2013 3:00,5.5,4.8,17.3,1.002
2/04/2013 3:10,4.8,3.2,17.4,1.002
2/04/2013 3:20,6.1,3.7,17.4,1.002
2/04/2013 3:30,9.2,4.3,17.6,1.002
2/04/2013 3:40,9.2,4,17.8,1.002
2/04/2013 3:50,6,3.3,17.8,1.002
2/04/2013 4:00,7.5,3.7,17.9,1.002
2/04/2013 4:10,9.2,4.6,17.9,1.002
2/04/2013 4:20,8.3,4,18,1.002
2/04/2013 4:30,11.3,4.4,18,1.002
2/04/2013 4:40,16.9,7.4,17.3,1.002
2/04/2013 4:50,11.5,7.3,16.3,1.002
2/04/2013 5:00,9.7,6.4,16.1,1.002
2/04/2013 5:10,10.6,5.7,16.3,1.002
2/04/2013 5:20,13.5,6.9,16.4,1.002
2/04/2013 5:30,7.3,4.3,16.4,1.002
2/04/2013 5:40,8.5,3.4,16.5,1.002
2/04/2013 5:50,12.9,4.6,16.8,1.002
2/04/2013 6:00,19.2,6.1,17.2,1.002
2/04/2013 6:10,17.9,7.5,17.4,1.002
2/04/2013 6:20,15.5,6.1,17.2,1.003
2/04/2013 6:30,21.9,8.9,16.6,1.003
2/04/2013 6:40,22.5,10.1,16,1.003
2/04/2013 6:50,16.1,8.5,15.9,1.003
2/04/2013 7:00,20.9,9.1,15.7,1.003
2/04/2013 7:10,20.3,9,15.9,1.003
2/04/2013 7:20,21,8.1,16.4,1.003
2/04/2013 7:30,24,8.7,17.1,1.003
2/04/2013 7:40,23.7,9.1,17.6,1.003
2/04/2013 7:50,23.3,7.7,18.4,1.004
2/04/2013 8:00,21.7,8,18.6,1.004
2/04/2013 8:10,21.1,7.9,18.5,1.004
2/04/2013 8:20,21.2,8.6,18.7,1.004
2/04/2013 8:30,19,6.6,19.5,1.004
2/04/2013 8:40,15.3,4.4,19.8,1.004
2/04/2013 8:50,16.7,5.9,20.2,1.004
2/04/2013 9:00,13.3,5.4,20.5,1.004
2/04/2013 9:10,16.6,7.1,20.1,1.004
2/04/2013 9:20,16.4,7.6,20,1.004
2/04/2013 9:30,19.1,8.3,20.2,1.004
2/04/2013 9:40,17.5,7,20.4,1.004
2/04/2013 9:50,17.1,7.2,20.6,1.004
2/04/2013 10:00,14.5,7.4,20.3,1.004
2/04/2013 10:10,11.9,5.9,20.3,1.004
2/04/2013 10:20,10.9,5.8,19.8,1.003
2/04/2013 10:30,19.4,7.2,19.9,1.003
2/04/2013 10:40,19.1,7.2,19.9,1.003
2/04/2013 10:50,16.2,6.8,19.9,1.004
2/04/2013 11:00,13.2,4.3,20.4,1.003
2/04/2013 11:10,12.9,5.9,20.6,1.003
2/04/2013 11:20,12.6,5.8,20.5,1.003
2/04/2013 11:30,11.7,5.4,20.6,1.003
2/04/2013 11:40,7.8,4.3,21.3,1.003
2/04/2013 11:50,13.2,6.1,21,1.003
2/04/2013 12:00,11,4.1,22,1.003
2/04/2013 12:10,10.8,4,21.9,1.003
2/04/2013 12:20,11.4,6.1,21.8,1.003
2/04/2013 12:30,8.5,3.9,22.1,1.003
2/04/2013 12:40,6,3.7,21.9,1.003
2/04/2013 12:50,9.8,5.8,21.8,1.003
2/04/2013 13:00,11,6.2,21.6,1.003
2/04/2013 13:10,10,6.7,21.3,1.002
2/04/2013 13:20,8.1,6.4,20.8,1.002
2/04/2013 13:30,2.9,3.5,21.1,1.002
2/04/2013 13:40,4.2,3.3,21.7,1.002
2/04/2013 13:50,6.3,3,22.5,1.002
2/04/2013 14:00,7.8,3.3,22.6,1.002
2/04/2013 14:10,5.9,4.1,22.5,1.002
2/04/2013 14:20,5.9,4.8,21.8,1.002
2/04/2013 14:30,6.6,4.8,21.3,1.002
2/04/2013 14:40,10.9,7.5,20.8,1.002
2/04/2013 14:50,13.5,8.7,20.3,1.002
2/04/2013 15:00,2.4,3.6,21.7,1.002
2/04/2013 15:10,5.1,3.8,21.6,1.002
2/04/2013 15:20,6,5.4,20.9,1.002
2/04/2013 15:30,5.1,5.2,20.5,1.002
2/04/2013 15:40,5.9,4.8,20.3,1.002
2/04/2013 15:50,4,5.1,20.2,1.002
2/04/2013 16:00,11.4,7.1,19.5,1.002
2/04/2013 16:10,7.3,6.6,19.6,1.002
2/04/2013 16:20,-1.7,3.9,18.9,1.003
2/04/2013 16:30,4.9,5.8,18.3,1.003
2/04/2013 16:40,6,5.7,18.3,1.003
2/04/2013 16:50,2.5,3.7,18.4,1.003
2/04/2013 17:00,-3.7,1,19,1.003
2/04/2013 17:10,5,3.5,19.4,1.003
2/04/2013 17:20,13.1,6.8,19.1,1.003
2/04/2013 17:30,9,6,18.9,1.003
2/04/2013 17:40,0.5,3.4,18.8,1.003
2/04/2013 17:50,2.3,3.2,18.9,1.003
2/04/2013 18:00,3.5,4,18.9,1.003
2/04/2013 18:10,4.2,3.5,18.9,1.003
2/04/2013 18:20,4.8,4.1,18.8,1.003
2/04/2013 18:30,5.9,4,18.8,1.003
2/04/2013 18:40,6.1,4.5,18.8,1.003
2/04/2013 18:50,4.9,4.3,18.8,1.003
2/04/2013 19:00,5.4,4.4,18.8,1.004
2/04/2013 19:10,5.1,4.5,18.5,1.004
2/04/2013 19:20,5.5,4.9,18.3,1.004
2/04/2013 19:30,6.8,5,18.2,1.004
2/04/2013 19:40,5.8,4.4,18.1,1.004
2/04/2013 19:50,5.8,4.1,18.1,1.004
2/04/2013 20:00,5.8,3.8,18.1,1.004
2/04/2013 20:10,5.2,3.4,18,1.004
2/04/2013 20:20,5.8,3.8,17.8,1.005
2/04/2013 20:30,6,4.5,17.6,1.005
2/04/2013 20:40,5,3.9,17.3,1.005
2/04/2013 20:50,4.5,3.1,17.2,1.005
2/04/2013 21:00,6.7,4.3,17.1,1.005
2/04/2013 21:10,6.9,4.7,16.8,1.005
2/04/2013 21:20,6.7,4.1,16.6,1.005
2/04/2013 21:30,6.6,4.3,16.4,1.005
2/04/2013 21:40,6.8,4.9,16.3,1.005
2/04/2013 21:50,7.6,4.9,16.2,1.005
2/04/2013 22:00,7.9,5.6,16.1,1.005
2/04/2013 22:10,7.9,4.4,16,1.005
2/04/2013 22:20,7.5,4.6,16,1.005
2/04/2013 22:30,8.3,5.2,16.1,1.005
2/04/2013 22:40,8,4.4,16.1,1.005
2/04/2013 22:50,7.7,4.4,16,1.005
2/04/2013 23:00,8.1,5.1,16.1,1.006
2/04/2013 23:10,7.6,4.1,16.3,1.006
2/04/2013 23:20,6.1,4.5,16.3,1.006
2/04/2013 23:30,3.8,4.2,16.2,1.006
2/04/2013 23:40,2.2,3,15.9,1.006
2/04/2013 23:50,1.7,2.6,15.7,1.006
3/04/2013 0:00,2.3,3.4,15.6,1.006
3/04/2013 0:10,4,3.9,15.6,1.006
3/04/2013 0:20,3.3,3.2,15.8,1.006
3/04/2013 0:30,4.2,2.2,15.9,1.006
3/04/2013 0:40,5.5,2.7,16,1.006
3/04/2013 0:50,6.2,3.5,15.9,1.006
3/04/2013 1:00,5.2,3,15.4,1.006
3/04/2013 1:10,4.9,3,15.1,1.006
3/04/2013 1:20,5.8,4.1,14.8,1.006
3/04/2013 1:30,7.1,3.9,15.2,1.006
3/04/2013 1:40,5.5,2.3,15.8,1.006
3/04/2013 1:50,7.3,2.8,16,1.006
3/04/2013 2:00,9.4,3.7,16.2,1.006
3/04/2013 2:10,9.1,4.1,16.2,1.006
3/04/2013 2:20,8,2.9,16.1,1.006
3/04/2013 2:30,7.1,2.8,16.3,1.006
3/04/2013 2:40,8.5,3.2,16.3,1.006
3/04/2013 2:50,9.1,3.5,16.1,1.006
3/04/2013 3:00,9,3.3,16,1.006
3/04/2013 3:10,9.5,2.9,15.9,1.006
3/04/2013 3:20,9,3.9,15.7,1.006
3/04/2013 3:30,10.4,5.3,15.5,1.006
3/04/2013 3:40,12.1,6.7,15.2,1.006
3/04/2013 3:50,11.7,5.5,15.1,1.006
3/04/2013 4:00,13.3,6.1,14.9,1.006
3/04/2013 4:10,11.1,5.2,14.8,1.006
3/04/2013 4:20,10.4,4.5,15.2,1.006
3/04/2013 4:30,5.1,2.7,15.2,1.006
3/04/2013 4:40,0.5,0,15.3,1.006
3/04/2013 4:50,4.7,2.2,15.2,1.006
3/04/2013 5:00,6.7,2.8,15.1,1.006
3/04/2013 5:10,6,3.2,15.1,1.006
3/04/2013 5:20,6.2,2.5,15.1,1.007
3/04/2013 5:30,6,2.1,15.1,1.007
3/04/2013 5:40,7.8,3.9,15.2,1.007
3/04/2013 5:50,11,5.3,15.2,1.007
3/04/2013 6:00,11,5.3,15.1,1.007
3/04/2013 6:10,10.3,4.3,15.1,1.007
3/04/2013 6:20,11.4,4.2,15,1.007
3/04/2013 6:30,11.7,5.4,14.8,1.007
3/04/2013 6:40,12.8,6.2,14.8,1.007
3/04/2013 6:50,12.8,6,14.8,1.007
3/04/2013 7:00,15.1,7,14.9,1.008
3/04/2013 7:10,15.4,7.2,15,1.008
3/04/2013 7:20,15.3,7.5,15,1.008
3/04/2013 7:30,16,7.7,15.1,1.008
3/04/2013 7:40,13.7,6.5,15.3,1.008
3/04/2013 7:50,12.7,5.8,15.5,1.009
3/04/2013 8:00,13.9,6.1,15.6,1.009
3/04/2013 8:10,13.7,5.6,15.9,1.009
3/04/2013 8:20,15.6,4.6,16.9,1.009
3/04/2013 8:30,12.9,4.1,16.9,1.009
3/04/2013 8:40,14.4,5.9,16.8,1.009
3/04/2013 8:50,14.1,5.8,16.9,1.009
3/04/2013 9:00,12,4.6,17,1.009
3/04/2013 9:10,14.5,6.6,17.3,1.009
3/04/2013 9:20,15.3,6.1,17.5,1.009
3/04/2013 9:30,16,5.7,18.1,1.009
3/04/2013 9:40,14.9,5.3,17.9,1.009
3/04/2013 9:50,17.9,5.7,18.6,1.009
3/04/2013 10:00,19.6,6.1,19.1,1.009
3/04/2013 10:10,18.1,7.8,19,1.009
3/04/2013 10:20,17.4,6.7,19.2,1.008
3/04/2013 10:30,14.4,6,18.8,1.008
3/04/2013 10:40,14.9,6.4,18.6,1.008
3/04/2013 10:50,19.8,6.9,20.2,1.008
3/04/2013 11:00,18,6.3,20,1.008
3/04/2013 11:10,17.4,4.6,20.6,1.008
3/04/2013 11:20,18.3,6.1,20.6,1.008
3/04/2013 11:30,18.4,6.8,20.8,1.008
3/04/2013 11:40,16.2,5.4,21.7,1.007
3/04/2013 11:50,15,5.6,21.2,1.007
3/04/2013 12:00,14.6,6.1,20.5,1.007
3/04/2013 12:10,16,6.2,21.3,1.007
3/04/2013 12:20,16.6,6,21.2,1.007
3/04/2013 12:30,17.8,5.8,22,1.007
3/04/2013 12:40,17.6,5.1,22.8,1.006
3/04/2013 12:50,16,5.9,22,1.006
3/04/2013 13:00,14.8,5.4,22,1.006
3/04/2013 13:10,17.2,6.1,21.4,1.006
3/04/2013 13:20,18.7,6.3,22.5,1.006
3/04/2013 13:30,15.3,5.8,22.2,1.006
3/04/2013 13:40,17.2,5.6,23.8,1.005
3/04/2013 13:50,22.2,4.6,24.6,1.005
3/04/2013 14:00,25.5,7.2,24.5,1.005
3/04/2013 14:10,12.4,5.8,23.3,1.005
3/04/2013 14:20,14.5,6.4,22.9,1.005
3/04/2013 14:30,12.8,5.9,23.2,1.005
3/04/2013 14:40,13.7,5.3,24.9,1.005
3/04/2013 14:50,12.8,5.8,24.1,1.005
3/04/2013 15:00,14.2,6.7,24,1.005
3/04/2013 15:10,13.5,6.4,23.6,1.005
3/04/2013 15:20,13.3,6.1,24.3,1.005
3/04/2013 15:30,14.9,6.1,24.4,1.005
3/04/2013 15:40,15.2,6.7,24.3,1.005
3/04/2013 15:50,16.8,7.2,24.1,1.005
3/04/2013 16:00,17.3,8.1,23.1,1.005
3/04/2013 16:10,15.2,8,23.4,1.005
3/04/2013 16:20,13.3,8,23,1.005
3/04/2013 16:30,14.9,8.1,23,1.005
3/04/2013 16:40,15.5,8,23,1.005
3/04/2013 16:50,15.5,7.8,23.2,1.005
3/04/2013 17:00,13.2,6.8,22.8,1.005
3/04/2013 17:10,14.9,7.6,22.9,1.005
3/04/2013 17:20,16.2,8.3,22.4,1.005
3/04/2013 17:30,24.2,11,21.7,1.005
3/04/2013 17:40,24.5,10.5,20.6,1.005
3/04/2013 17:50,23.7,11.6,19.6,1.006
3/04/2013 18:00,26.3,10.6,18.8,1.006
3/04/2013 18:10,23.7,9.9,18.3,1.006
3/04/2013 18:20,25.4,10.3,18,1.006
3/04/2013 18:30,24.9,10.7,17.6,1.006
3/04/2013 18:40,25.6,11.1,17.3,1.007
3/04/2013 18:50,25.7,11.5,17.2,1.007
3/04/2013 19:00,24.4,10.7,17,1.007
3/04/2013 19:10,23.1,9.9,16.8,1.007
3/04/2013 19:20,22.9,9.2,16.6,1.007
3/04/2013 19:30,22.1,9,16.3,1.008
3/04/2013 19:40,21.8,8.9,16.2,1.008
3/04/2013 19:50,21.7,8.8,16.1,1.008
3/04/2013 20:00,21.4,8.8,16.1,1.008
3/04/2013 20:10,20.7,9.3,15.7,1.008
3/04/2013 20:20,20.3,8,15.7,1.008
3/04/2013 20:30,19.8,8.1,15.7,1.008
3/04/2013 20:40,20.1,7.8,15.7,1.008
3/04/2013 20:50,20.5,8.1,15.8,1.008
3/04/2013 21:00,20.8,8.1,15.7,1.008
3/04/2013 21:10,20.4,7.8,15.8,1.008
3/04/2013 21:20,20,8.1,15.7,1.008
3/04/2013 21:30,19.1,7.8,15.6,1.008
3/04/2013 21:40,19,7.9,15.5,1.008
3/04/2013 21:50,19.3,7,15.6,1.008
3/04/2013 22:00,19.9,8.2,15.5,1.008
3/04/2013 22:10,19.9,8.5,15.5,1.009
3/04/2013 22:20,18.7,7.4,15.5,1.009
3/04/2013 22:30,18.5,7.8,15.6,1.009
3/04/2013 22:40,18.1,6.8,15.6,1.009
3/04/2013 22:50,19.5,6.9,15.6,1.008
3/04/2013 23:00,19.6,6.7,15.5,1.008
3/04/2013 23:10,18.4,7.1,15.4,1.008
3/04/2013 23:20,18.6,7.1,15.4,1.008
3/04/2013 23:30,17.8,6.8,15.4,1.008
3/04/2013 23:40,18.8,7.2,15.4,1.008
3/04/2013 23:50,18.1,6.7,15.3,1.008
4/04/2013 0:00,16,6.1,15.2,1.008
4/04/2013 0:10,14.9,5.1,15.2,1.008
4/04/2013 0:20,12.4,4.7,15.3,1.008
4/04/2013 0:30,15.7,6,15.2,1.008
4/04/2013 0:40,15.8,6,15,1.008
4/04/2013 0:50,12.4,5.3,15,1.008
4/04/2013 1:00,10.6,4.6,14.9,1.008
4/04/2013 1:10,11.6,5.1,14.8,1.008
4/04/2013 1:20,12.5,4.7,14.8,1.008
4/04/2013 1:30,12.6,5.7,14.7,1.008
4/04/2013 1:40,11,5.2,14.5,1.008
4/04/2013 1:50,11,5.3,14.3,1.008
4/04/2013 2:00,9.8,4.3,14.3,1.008
4/04/2013 2:10,9.2,4.1,14.3,1.008
4/04/2013 2:20,8.5,3.4,14.3,1.008
4/04/2013 2:30,8.9,4.3,14.1,1.008
4/04/2013 2:40,7.6,3,13.9,1.008
4/04/2013 2:50,8.4,3.8,14,1.008
4/04/2013 3:00,10.2,4.3,14,1.008
4/04/2013 3:10,9.9,4.1,13.9,1.008
4/04/2013 3:20,10.2,5.6,13.7,1.008
4/04/2013 3:30,10.1,5.2,13.5,1.008
4/04/2013 3:40,10.7,4.6,13.6,1.008
4/04/2013 3:50,12.1,6.2,13.4,1.008
4/04/2013 4:00,12.8,6.4,12.7,1.008
4/04/2013 4:10,11.8,5.9,12.2,1.008
4/04/2013 4:20,11.3,5.8,11.6,1.008
4/04/2013 4:30,12.4,6.9,11.8,1.008
4/04/2013 4:40,10.8,5.4,11.7,1.008
4/04/2013 4:50,10.8,4.4,12.5,1.008
4/04/2013 5:00,12.7,4.4,13.1,1.008
4/04/2013 5:10,12.7,4.9,13.2,1.008
4/04/2013 5:20,12.6,5,13.4,1.008
4/04/2013 5:30,13.8,5.2,13.4,1.008
4/04/2013 5:40,12.3,5.7,13.4,1.008
4/04/2013 5:50,13.3,6.9,13.4,1.009
4/04/2013 6:00,14.6,6.1,13.4,1.009
4/04/2013 6:10,13.5,6.7,13.3,1.009
4/04/2013 6:20,13,6.7,13.3,1.009
4/04/2013 6:30,14.6,7.1,13.4,1.009
4/04/2013 6:40,13.2,7.2,13.4,1.009
4/04/2013 6:50,13.6,6.3,13.4,1.009
4/04/2013 7:00,13.3,6.3,13.6,1.009
4/04/2013 7:10,13.9,5.8,13.9,1.009
4/04/2013 7:20,14.9,6.4,14.4,1.009
4/04/2013 7:30,15.9,5,14.9,1.009
4/04/2013 7:40,14.5,4.9,15.5,1.009
4/04/2013 7:50,14.3,5.5,16.1,1.009
4/04/2013 8:00,16.2,6.5,16.7,1.009
4/04/2013 8:10,16.2,6.1,17.1,1.009
4/04/2013 8:20,16,6.6,17.2,1.009
4/04/2013 8:30,17,6.8,17.5,1.009
4/04/2013 8:40,17.2,7.1,17.6,1.009
4/04/2013 8:50,18.5,7.4,18,1.009
4/04/2013 9:00,18.8,7.1,18.3,1.009
4/04/2013 9:10,18.3,8,18.4,1.009
4/04/2013 9:20,15.4,6.9,18.7,1.009
4/04/2013 9:30,15.1,6.4,19.5,1.009
4/04/2013 9:40,15.6,5.6,20.4,1.009
4/04/2013 9:50,14.7,6.7,20.8,1.009
4/04/2013 10:00,13.7,5.4,21.4,1.009
4/04/2013 10:10,13.1,6.1,21.6,1.009
4/04/2013 10:20,13.6,6,22.4,1.009
4/04/2013 10:30,12.5,4.9,22.5,1.009
4/04/2013 10:40,14.7,5.5,22.4,1.008
4/04/2013 10:50,13.7,5.2,23.4,1.008
4/04/2013 11:00,14.5,6.9,23.1,1.008
4/04/2013 11:10,14.6,6.2,22.7,1.008
4/04/2013 11:20,14.6,6.5,22.7,1.008
4/04/2013 11:30,19.2,7.9,22.4,1.008
4/04/2013 11:40,19.6,10.2,21.6,1.008
4/04/2013 11:50,18.1,10.2,21.1,1.008
4/04/2013 12:00,15.3,8.6,21.5,1.008
4/04/2013 12:10,18.6,8.6,21.6,1.008
4/04/2013 12:20,19,7.8,21.9,1.008
4/04/2013 12:30,17.6,6.5,22.1,1.008
4/04/2013 12:40,19.1,7.8,22.3,1.007
4/04/2013 12:50,17.3,7,21.8,1.007
4/04/2013 13:00,21.9,8.7,22.5,1.007
4/04/2013 13:10,21,7,23.2,1.007
4/04/2013 13:20,17.6,6.7,22.4,1.007
