Date/Time,PM10 TEOM ug/m3,PM2.5 TEOM ug/m3,Temperature Deg C,Barometric Pressure atm
1/05/2013 0:10,5.2,2.7,12.6,1.003
1/05/2013 0:20,5.5,2.9,12.5,1.003
1/05/2013 0:30,5.9,2.6,12.6,1.003
1/05/2013 0:40,5.5,3.9,12.4,1.004
1/05/2013 0:50,5.9,4.8,12.4,1.004
1/05/2013 1:00,5.4,3.5,12.5,1.004
1/05/2013 1:10,5.6,3.1,12.5,1.004
1/05/2013 1:20,6.6,5,12.4,1.004
1/05/2013 1:30,6.6,4.2,12.4,1.004
1/05/2013 1:40,5.9,3.1,12.5,1.004
1/05/2013 1:50,4.9,3.6,12.4,1.004
1/05/2013 2:00,4.8,2.5,12.4,1.003
1/05/2013 2:10,5.7,4.3,12.3,1.004
1/05/2013 2:20,4.8,2.9,12.2,1.004
1/05/2013 2:30,5.3,2.4,12.3,1.004
1/05/2013 2:40,4.5,3.2,12.2,1.004
1/05/2013 2:50,5.6,4.7,11.9,1.004
1/05/2013 3:00,3.6,1.6,11.7,1.003
1/05/2013 3:10,3.9,2,11.6,1.003
1/05/2013 3:20,3.5,2.9,10.9,1.003
1/05/2013 3:30,2.5,2,10.4,1.003
1/05/2013 3:40,5,3.5,10.5,1.003
1/05/2013 3:50,5.9,4.6,10.7,1.003
1/05/2013 4:00,4.7,2.8,10.2,1.003
1/05/2013 4:10,4.7,3.4,10.1,1.004
1/05/2013 4:20,4.8,4,10.1,1.004
1/05/2013 4:30,4.5,4.4,9.5,1.004
1/05/2013 4:40,4.7,4.5,9.1,1.004
1/05/2013 4:50,5.5,3.3,9.3,1.004
1/05/2013 5:00,5.3,2.6,9,1.004
1/05/2013 5:10,6.2,4,8.8,1.004
1/05/2013 5:20,9.8,4.5,9,1.004
1/05/2013 5:30,11.9,5.8,8.9,1.004
1/05/2013 5:40,9.1,4.8,8.8,1.004
1/05/2013 5:50,7,4.9,8.8,1.004
1/05/2013 6:00,5.6,3.8,8.4,1.004
1/05/2013 6:10,6.1,3.6,8.4,1.004
1/05/2013 6:20,16.6,5.7,8.5,1.004
1/05/2013 6:30,17.5,8.2,8.4,1.004
1/05/2013 6:40,17.6,10.7,8.6,1.004
1/05/2013 6:50,20.3,11.3,8.7,1.005
1/05/2013 7:00,20.5,8.8,9.1,1.005
1/05/2013 7:10,18.3,7.2,9.2,1.005
1/05/2013 7:20,17.4,6.6,9.6,1.005
1/05/2013 7:30,16.6,7.7,9.8,1.005
1/05/2013 7:40,19.3,9.6,10.3,1.005
1/05/2013 7:50,28.1,13.4,10.9,1.005
1/05/2013 8:00,34.1,11.7,11.2,1.005
1/05/2013 8:10,32.3,10,11.6,1.005
1/05/2013 8:20,35,13.6,12.1,1.005
1/05/2013 8:30,31.3,17.8,13.2,1.006
1/05/2013 8:40,32.3,11.7,14.9,1.006
1/05/2013 8:50,21,5.1,15.3,1.006
1/05/2013 9:00,15.1,5,15.1,1.006
1/05/2013 9:10,15,6.1,15.3,1.006
1/05/2013 9:20,16.6,10.6,15.4,1.006
1/05/2013 9:30,16.1,7.8,15.7,1.006
1/05/2013 9:40,11,1.9,16.3,1.006
1/05/2013 9:50,11.3,-1.2,18.9,1.006
1/05/2013 10:00,12.8,0.8,18.5,1.006
1/05/2013 10:10,12,5,18.3,1.006
1/05/2013 10:20,14.2,4,19,1.006
1/05/2013 10:30,16.8,7.4,18.5,1.006
1/05/2013 10:40,15.9,6.3,18.5,1.006
1/05/2013 10:50,16.9,4.6,18.9,1.005
1/05/2013 11:00,19.6,5.5,18.7,1.005
1/05/2013 11:10,17.2,7.8,18.1,1.005
1/05/2013 11:20,14.4,5.5,17.7,1.005
1/05/2013 11:30,21.7,5.5,18.2,1.005
1/05/2013 11:40,29.2,2.2,18.8,1.005
1/05/2013 11:50,19.6,0.5,18.6,1.005
1/05/2013 12:00,11,-1.1,19.1,1.005
1/05/2013 12:10,8.6,-0.3,19.7,1.004
1/05/2013 12:20,12.9,2,19.7,1.004
1/05/2013 12:30,14.5,6,18.8,1.004
